image_id,angle,speed
148.png,0.625,0
149.png,0.6875,0
150.png,0.875,1
151.png,0.4375,1
152.png,0.75,1
153.png,0.375,1
154.png,0.4375,1
155.png,0.4375,0
156.png,0.4375,1
157.png,0.8125,1
158.png,0.75,0
159.png,0.625,0
160.png,0.5625,1
161.png,0.4375,1
162.png,0.75,1
163.png,0.3125,1
164.png,0.625,1
165.png,0.4375,1
166.png,0.75,1
167.png,0.6875,1
168.png,0.625,1
169.png,0.5,1
170.png,0.625,1
171.png,0.5625,1
172.png,0,0
173.png,0.75,1
174.png,0.125,1
175.png,0.4375,1
176.png,0.625,1
177.png,0.8125,1
178.png,0.6875,1
179.png,0.8125,1
180.png,0.25,1
181.png,0.75,1
182.png,0.5,0
183.png,0.6875,1
184.png,0.6875,0
185.png,0.6875,1
186.png,0.5,0
187.png,0.5,1
188.png,0.625,0
189.png,0.5,1
190.png,0.5,1
191.png,0.875,1
192.png,0.6875,0
193.png,0.5625,0
194.png,0.4375,1
195.png,0.75,1
196.png,0.5625,1
197.png,0.5625,1
198.png,0.6875,1
199.png,0.4375,0
200.png,0.5625,1
201.png,0.75,0
202.png,0.8125,1
203.png,0.1875,1
204.png,0.625,0
205.png,0.75,1
206.png,0.6875,0
207.png,0.75,1
208.png,0.5,1
209.png,0.4375,1
210.png,0.8125,0
211.png,0.625,0
212.png,0.625,1
213.png,0.6875,1
214.png,0.4375,0
215.png,0.625,0
216.png,0.6875,1
217.png,0.75,0
218.png,0.5625,1
219.png,0.75,0
220.png,0.875,1
221.png,0.625,0
222.png,0.5,0
223.png,0.8125,1
224.png,0.625,1
225.png,0.875,1
226.png,0.8125,1
227.png,0.4375,1
228.png,0.75,1
229.png,0.75,1
230.png,0.625,0
231.png,0.4375,0
232.png,0.5625,0
233.png,0.75,1
234.png,0.8125,1
235.png,0.8125,1
236.png,0.5,1
237.png,0.75,1
238.png,0.625,1
239.png,0.9375,1
240.png,0.4375,0
241.png,0.75,1
242.png,0.875,1
243.png,0.6875,1
244.png,0.9375,1
245.png,0.625,0
246.png,0.4375,0
247.png,0.75,1
248.png,0.5625,1
249.png,0.75,1
250.png,0.25,1
251.png,0.5,1
252.png,0.5,1
253.png,0.75,0
254.png,0.75,1
255.png,0.6875,1
256.png,0.5,1
257.png,0.75,1
258.png,0.9375,1
259.png,0.75,1
260.png,0.375,1
261.png,0.5,1
262.png,0.5625,0
263.png,0.5625,0
264.png,0.625,1
265.png,0.375,1
266.png,0.625,1
267.png,0.5625,1
268.png,0.4375,0
269.png,0.75,1
270.png,0.625,0
271.png,0.8125,1
272.png,0.6875,0
273.png,0.75,0
274.png,0.1875,1
275.png,0.6875,1
276.png,0.5,0
277.png,0.5625,0
278.png,0.8125,1
279.png,0.625,0
280.png,0.6875,1
281.png,0.625,1
282.png,0.5625,1
283.png,0.625,1
284.png,0.75,1
285.png,0.4375,1
286.png,0.5625,0
287.png,0.75,1
288.png,0.5625,1
289.png,0.0625,1
290.png,0.8125,1
291.png,0.6875,1
292.png,0.75,0
293.png,0.5,1
294.png,0.4375,1
295.png,0.625,1
296.png,0.75,0
297.png,0.5625,1
298.png,0.75,1
299.png,0.75,1
300.png,0.5,1
301.png,0.5,1
302.png,0.625,1
303.png,0.625,1
304.png,0.625,1
305.png,0.625,1
306.png,0.6875,1
307.png,0.75,0
308.png,0.375,1
309.png,0.6875,1
310.png,0.5625,1
311.png,0.5,1
312.png,0.625,1
313.png,0.25,0
314.png,0.75,1
315.png,0.3125,1
316.png,0.375,1
317.png,0.75,0
318.png,0.625,0
319.png,0.4375,1
320.png,0.5625,0
321.png,0.75,1
322.png,0.5,1
323.png,0.5,1
324.png,0.5,0
325.png,0.625,0
326.png,0.5,1
327.png,0.5625,1
328.png,0.8125,0
329.png,0.5,1
330.png,0.5,1
331.png,0.5,0
332.png,0.5,0
333.png,0.8125,1
334.png,0.375,1
335.png,0.75,1
336.png,0.5,1
337.png,0.6875,1
338.png,0.625,1
339.png,0.875,1
340.png,0.75,1
341.png,0.8125,1
342.png,0.75,0
343.png,0.9375,1
344.png,0.75,0
345.png,0.6875,1
346.png,0.5,1
347.png,0.4375,1
348.png,0.5625,1
349.png,0.625,1
350.png,0.8125,1
351.png,0.5,1
352.png,0.5,0
353.png,0.4375,1
354.png,0.5625,1
355.png,0.75,0
356.png,0.8125,1
357.png,0.5625,0
358.png,0.75,1
359.png,0.625,1
360.png,0.4375,1
361.png,0.6875,1
362.png,0.6875,1
363.png,0.5625,1
364.png,0.625,1
365.png,0.625,0
366.png,0.75,0
367.png,0.5625,1
368.png,0.625,1
369.png,0.6875,1
370.png,0.625,1
371.png,0.4375,1
372.png,0.625,1
373.png,0.4375,1
374.png,0.6875,1
375.png,0.0625,1
376.png,0.5,1
377.png,0.75,0
378.png,0.6875,1
379.png,0.75,1
380.png,0.6875,0
381.png,0.375,0
382.png,0.8125,1
383.png,0.5,1
384.png,0.75,1
385.png,0.6875,1
386.png,0.5625,1
387.png,0.5,1
388.png,0.75,1
389.png,0.625,1
390.png,0.4375,1
391.png,0.625,1
392.png,0.6875,1
393.png,0.5625,1
394.png,0.625,1
395.png,0.5,0
396.png,0.6875,1
397.png,0.4375,1
398.png,0.75,0
399.png,0.75,1
400.png,0.5625,1
401.png,0.8125,1
402.png,0.625,1
403.png,0.5625,0
404.png,0.75,1
405.png,0.6875,0
406.png,0.8125,1
407.png,0.5,1
408.png,0.6875,0
409.png,0.75,1
410.png,0.5,0
411.png,0.125,0
412.png,0.75,1
413.png,0.625,1
414.png,0.8125,1
415.png,0.5,1
416.png,0.625,0
417.png,0.4375,1
418.png,0.5625,1
419.png,0.6875,1
420.png,0.8125,1
421.png,0.8125,1
422.png,0.6875,1
423.png,0.3125,1
424.png,0.75,1
425.png,0.6875,0
426.png,0.6875,0
427.png,0.5625,1
428.png,0.5625,1
429.png,0.75,0
430.png,0.4375,1
431.png,0.8125,1
432.png,0.6875,1
433.png,0.625,1
434.png,0.5,1
435.png,0.625,1
436.png,0.5,1
437.png,0.4375,1
438.png,0.6875,1
439.png,0.4375,1
440.png,0.5625,0
441.png,0.4375,1
442.png,0.6875,1
443.png,0.375,0
444.png,0.5,1
445.png,0.5625,0
446.png,0.8125,1
447.png,0.75,1
448.png,0.75,1
449.png,0.75,1
450.png,0.9375,1
451.png,0.375,1
452.png,0.75,1
453.png,0.4375,1
454.png,0.5,0
455.png,0.6875,1
456.png,0.75,1
457.png,0.6875,1
458.png,0.5625,1
459.png,0.875,1
460.png,0.3125,1
461.png,1,1
462.png,0.125,1
463.png,0.5625,1
464.png,0.4375,0
465.png,0.375,1
466.png,0.8125,1
467.png,0.5625,1
468.png,0.75,1
469.png,0.6875,1
470.png,0.5625,1
471.png,0.8125,1
472.png,0.6875,1
473.png,0.6875,1
474.png,0.4375,1
475.png,0.5,1
476.png,0.5,0
477.png,0.8125,1
478.png,0.8125,1
479.png,0.625,1
480.png,0.5,0
481.png,0.75,1
482.png,0.5625,1
483.png,0.625,1
484.png,0.625,0
485.png,0.5,1
486.png,0.625,1
487.png,0.625,1
488.png,0.6875,0
489.png,0.75,1
490.png,0.8125,1
491.png,0.125,1
492.png,0.5625,0
493.png,0.4375,1
494.png,0.625,0
495.png,0.75,1
496.png,0.6875,0
497.png,0.5,1
498.png,0.6875,1
499.png,0.5625,1
500.png,0.625,1
501.png,0.6875,1
502.png,0.6875,1
503.png,0.4375,1
504.png,0.5625,0
505.png,0.4375,1
506.png,0.4375,1
507.png,0.5,1
508.png,0.6875,1
509.png,0.8125,1
510.png,0.4375,1
511.png,0.75,0
512.png,0.5625,0
513.png,0.6875,1
514.png,0.6875,1
515.png,0.5,1
516.png,0.6875,1
517.png,0.625,0
518.png,0.6875,1
519.png,0.875,1
520.png,0.4375,1
521.png,0.625,1
522.png,0.5,1
523.png,0.75,1
524.png,0.6875,0
525.png,0.625,1
526.png,0.75,0
527.png,0.5,1
528.png,0.625,1
529.png,0.75,1
530.png,0.6875,1
531.png,0.6875,0
532.png,0.5,1
533.png,0.75,1
534.png,0.5,1
535.png,0.5,1
536.png,0.5,0
537.png,0.75,1
538.png,0.75,1
539.png,0.625,0
540.png,0.6875,0
541.png,0.75,1
542.png,0.625,1
543.png,0.5,1
544.png,0.4375,1
545.png,0.75,0
546.png,0.625,1
547.png,0.5625,1
548.png,0.75,1
549.png,0.75,1
550.png,0.6875,0
551.png,0.5625,1
552.png,0.75,1
553.png,0.6875,1
554.png,0.4375,1
555.png,0.75,1
556.png,0.8125,1
557.png,0.5,1
558.png,0.9375,1
559.png,0.4375,1
560.png,0.625,1
561.png,0.5625,1
562.png,0.25,0
563.png,0.8125,1
564.png,0.4375,1
565.png,0.5,0
566.png,0.125,1
567.png,0.6875,0
568.png,0.75,1
569.png,0.5,1
570.png,0.125,0
571.png,0.5,1
572.png,0.625,1
573.png,0.5,1
574.png,0.375,1
575.png,0.625,1
576.png,0.6875,0
577.png,0.75,1
578.png,0.75,1
579.png,0.75,1
580.png,0.6875,1
581.png,0.5,1
582.png,0.5625,1
583.png,0.875,1
584.png,0.625,1
585.png,0.6875,0
586.png,0.5625,0
587.png,0.8125,1
588.png,0.5,1
589.png,0.8125,1
590.png,0.625,1
591.png,0.4375,1
592.png,0.625,1
593.png,0.4375,1
594.png,0.75,1
595.png,0.4375,1
596.png,0.4375,1
597.png,0.6875,1
598.png,0.5,1
599.png,0.625,1
600.png,0.75,1
601.png,0.875,1
602.png,0.5,0
603.png,0.5,0
604.png,0.75,1
605.png,0.375,0
606.png,0.75,1
607.png,0.5625,1
608.png,0.6875,0
609.png,0.5,1
610.png,0.5,1
611.png,0.75,1
612.png,0.5,0
613.png,0.75,0
614.png,0.8125,1
615.png,0.6875,1
616.png,0.5625,1
617.png,0.5,1
618.png,0.875,1
619.png,0.8125,0
620.png,0.5625,0
621.png,0.5,0
622.png,0.5625,1
623.png,0.5,1
624.png,0.625,1
625.png,0.625,1
626.png,0.625,1
627.png,0.75,1
628.png,0.6875,0
629.png,0.375,0
630.png,0.625,1
631.png,0.6875,1
632.png,0.4375,0
633.png,0.5,0
634.png,0.8125,1
635.png,0.4375,0
636.png,0.5625,1
637.png,0.5625,1
638.png,0.625,0
639.png,0.625,1
640.png,0.5625,1
641.png,0.5,0
642.png,0.8125,1
643.png,0.6875,0
644.png,0.5,1
645.png,0.625,0
646.png,0.75,1
647.png,0.8125,1
648.png,0.4375,1
649.png,0.4375,1
650.png,0.5,0
651.png,0.625,1
652.png,0.5625,1
653.png,0.6875,1
654.png,0.6875,1
655.png,0.6875,1
656.png,0.4375,1
657.png,0.75,0
658.png,0.75,1
659.png,0.625,1
660.png,0.75,1
661.png,0.875,1
662.png,0.4375,0
663.png,0.5625,1
664.png,0.3125,1
665.png,0.5625,1
666.png,0.625,1
667.png,0.75,1
668.png,0.5,0
669.png,0.75,1
670.png,0.875,1
671.png,0.75,0
672.png,0.5,1
673.png,0.4375,1
674.png,0.5,1
675.png,0.625,1
676.png,0.5625,1
677.png,0.4375,1
678.png,0.5625,1
679.png,0.6875,1
680.png,0.6875,1
681.png,0.5,1
682.png,0.625,1
683.png,0.6875,0
684.png,0.75,1
685.png,0.4375,1
686.png,0.5,1
687.png,0.625,1
688.png,0.6875,1
689.png,0.75,1
690.png,0.6875,0
691.png,0.5625,1
692.png,0.125,1
693.png,0.625,0
694.png,0.75,1
695.png,0.6875,1
696.png,0.8125,1
697.png,0.625,1
698.png,0.6875,1
699.png,0.4375,1
700.png,0.6875,1
701.png,0.5,1
702.png,0.625,1
703.png,0.625,0
704.png,0.75,1
705.png,0.625,0
706.png,0.625,1
707.png,0.4375,1
708.png,0.75,1
709.png,0.375,0
710.png,0.5,1
711.png,0.5,0
712.png,0.8125,1
713.png,0.6875,1
714.png,0.4375,1
715.png,0.5625,0
716.png,0.8125,1
717.png,0.4375,1
718.png,0.8125,1
719.png,0.6875,1
720.png,0.25,1
721.png,0.5,0
722.png,0.6875,1
723.png,0.625,1
724.png,0.8125,1
725.png,0.6875,1
726.png,0.5,1
727.png,0.875,0
728.png,0.4375,1
729.png,0.6875,1
730.png,0.5,1
731.png,0.625,0
732.png,0.5,0
733.png,0.625,1
734.png,0.75,1
735.png,0.625,1
736.png,0.3125,0
737.png,0.8125,0
738.png,0.5,1
739.png,0.625,0
740.png,0.625,1
741.png,0.6875,0
742.png,0.8125,1
743.png,0.5,1
744.png,0.6875,1
745.png,0.5625,1
746.png,0.5,1
747.png,0.8125,0
748.png,0.4375,1
749.png,0.5,0
750.png,0.5,1
751.png,0.75,0
752.png,0.8125,1
753.png,0.625,1
754.png,0.4375,1
755.png,0.625,1
756.png,0.5625,1
757.png,0.8125,0
758.png,0.5,1
759.png,0.8125,1
760.png,0.5625,0
761.png,0.3125,1
762.png,0.5625,0
763.png,0.8125,1
764.png,0.75,1
765.png,0.5625,1
766.png,0.8125,1
767.png,0.5,0
768.png,0.8125,1
769.png,0.6875,1
770.png,0.5625,1
771.png,0.625,0
772.png,0.6875,1
773.png,0.625,1
774.png,0.625,1
775.png,0.4375,1
776.png,0.5,0
777.png,0.5,0
778.png,0.5,0
779.png,0.5,0
780.png,0,1
781.png,0.5,1
782.png,0.625,1
783.png,0.625,1
784.png,0,0
785.png,0.5,1
786.png,0.5625,1
787.png,0.4375,1
788.png,0.5625,1
789.png,0.4375,1
790.png,0.5625,0
791.png,0.5,1
792.png,0.75,1
793.png,0.75,1
794.png,0.4375,1
795.png,0.875,1
796.png,0.0625,1
797.png,0.8125,1
798.png,0.8125,1
799.png,0.4375,1
800.png,0.5625,1
801.png,0.875,1
802.png,0.75,1
803.png,0.625,1
804.png,0.375,1
805.png,0.5,1
806.png,0.8125,1
807.png,0.5625,1
808.png,0.5,1
809.png,0.8125,1
810.png,0.6875,1
811.png,0.6875,1
812.png,0.625,0
813.png,0.5,0
814.png,0.625,1
815.png,0.625,1
816.png,0.625,1
817.png,0.75,1
818.png,0.8125,1
819.png,0.75,1
820.png,0.5625,1
821.png,0.6875,0
822.png,0.5625,1
823.png,0.6875,1
824.png,0.8125,0
825.png,0.8125,1
826.png,0.6875,0
827.png,0.75,1
828.png,0.4375,1
829.png,0.5,0
830.png,0.75,0
831.png,0.8125,1
832.png,0.6875,1
833.png,0.375,1
834.png,0.625,1
835.png,0.4375,1
836.png,0.4375,1
837.png,0.5,1
838.png,0.9375,1
839.png,0.75,1
840.png,0.8125,1
841.png,0.6875,0
842.png,0.6875,0
843.png,0.4375,1
844.png,0.625,1
845.png,0.5,1
846.png,0.5625,0
847.png,0.1875,1
848.png,0.375,1
849.png,0.5,1
850.png,0.4375,1
851.png,0.875,1
852.png,0.625,1
853.png,0.375,1
854.png,0.6875,1
855.png,0.625,1
856.png,0.625,0
857.png,0.5625,1
858.png,0.5625,1
859.png,0.625,1
860.png,0.6875,1
861.png,0.75,1
862.png,0.5,0
863.png,0.0625,1
864.png,0.5625,1
865.png,0.5625,0
866.png,0.6875,1
867.png,0.375,1
868.png,0.8125,1
869.png,0.5625,1
870.png,0.75,0
871.png,0.625,1
872.png,0.5,1
873.png,0.5625,1
874.png,0.625,1
875.png,0.5,0
876.png,0.75,1
877.png,0.9375,0
878.png,0.5625,1
879.png,0.5,1
880.png,0.75,0
881.png,0.625,1
882.png,0.75,1
883.png,0.25,0
884.png,0.8125,1
885.png,0.75,1
886.png,0.875,1
887.png,0.4375,1
888.png,0.6875,1
889.png,0.75,1
890.png,0.75,1
891.png,0,1
892.png,0.6875,1
893.png,0.625,0
894.png,0.75,0
895.png,0.5,1
896.png,0.5625,0
897.png,0.5625,1
898.png,0.6875,1
899.png,0.1875,0
900.png,0.5625,1
901.png,0.75,0
902.png,0.75,1
903.png,0.6875,1
904.png,0.6875,1
905.png,0.75,0
906.png,0.75,1
907.png,0.5625,1
908.png,0.375,1
909.png,0.875,1
910.png,0.375,1
911.png,0.5,1
912.png,0.6875,1
913.png,0.125,1
914.png,0.75,1
915.png,0.625,1
916.png,0.5625,0
917.png,0.75,0
918.png,0.4375,1
919.png,0.75,1
920.png,0.5625,1
921.png,0.5,0
922.png,0.1875,1
923.png,0.8125,1
924.png,0.8125,1
925.png,0.5,1
926.png,0.4375,1
927.png,0.5,0
928.png,0.3125,1
929.png,0.4375,1
930.png,0.375,0
931.png,0.75,0
932.png,0.5,1
933.png,0.5625,1
934.png,0.625,0
935.png,0.5625,1
936.png,0.5,0
937.png,0.75,0
938.png,0.8125,1
939.png,0.5625,1
940.png,0.75,1
941.png,0.75,1
942.png,0.8125,1
943.png,0.5625,1
944.png,0.75,1
945.png,0.625,1
946.png,0.625,1
947.png,0.8125,1
948.png,0.6875,0
949.png,0.4375,1
950.png,0.5,1
951.png,0.625,1
952.png,0.5625,1
953.png,0.8125,1
954.png,0.3125,1
955.png,0.6875,1
956.png,0.6875,0
957.png,0.875,1
958.png,0.6875,1
959.png,0.75,1
960.png,0.8125,1
961.png,0.75,0
962.png,0.6875,1
963.png,0.4375,0
964.png,0.6875,0
965.png,0.5,1
966.png,0.625,1
967.png,0.625,0
968.png,0.5625,1
969.png,0.5625,0
970.png,0.5,1
971.png,0.625,1
972.png,0.625,0
973.png,0.6875,1
974.png,0.8125,1
975.png,0.625,1
976.png,0.5,0
977.png,0.5,0
978.png,0.6875,1
979.png,0.875,1
980.png,0.5,1
981.png,0.4375,1
982.png,0.4375,1
983.png,0.4375,1
984.png,0.6875,0
985.png,0.8125,1
986.png,0.6875,1
987.png,0.875,1
988.png,0.5,1
989.png,0.5625,1
990.png,0.6875,1
991.png,0.6875,0
992.png,0.6875,0
993.png,0.6875,1
994.png,0.875,1
995.png,0.5,0
996.png,0.625,0
997.png,0.625,1
998.png,0.5625,1
999.png,0.5,1
1000.png,0.5,0
1001.png,0.375,1
1002.png,0.75,1
1003.png,0.6875,1
1004.png,0.8125,1
1005.png,0.5,1
1006.png,0.3125,1
1007.png,0.75,0
1008.png,0.5,0
1009.png,0.875,1
1010.png,0.8125,0
1011.png,0.75,1
1012.png,0.625,1
1013.png,0.8125,1
1014.png,0.9375,1
1015.png,0.6875,1
1016.png,0.5625,1
1017.png,0.75,1
1018.png,0.75,1
1019.png,0.25,0
1020.png,0.5625,1
1021.png,0.25,0
1022.png,0.3125,1
1023.png,0.625,1
1024.png,0.625,0
1025.png,0.75,1
1026.png,0.6875,1
1027.png,0.5625,1
1028.png,0.5625,1
1029.png,0.375,1
1030.png,0.75,0
1031.png,0.75,1
1032.png,0.875,1
1033.png,0.75,1
1034.png,0.625,1
1035.png,0.5,1
1036.png,0.375,1
1037.png,0.8125,1
1038.png,0.6875,0
1039.png,0.6875,0
1040.png,0.5,1
1041.png,0.6875,1
1042.png,0.6875,1
1043.png,0.75,0
1044.png,0.6875,1
1045.png,0.75,1
1046.png,0.5625,1
1047.png,0.6875,1
1048.png,0.875,1
1049.png,0.5,1
1050.png,0.75,1
1051.png,0.8125,1
1052.png,0.5,0
1053.png,0.4375,1
1054.png,0.4375,1
1055.png,0.75,1
1056.png,0.4375,0
1057.png,0.5625,1
1058.png,0.5,0
1059.png,0.5625,1
1060.png,0.75,1
1061.png,0.625,1
1062.png,0.75,0
1063.png,0.625,0
1064.png,0.5,1
1065.png,0.75,1
1066.png,0.625,1
1067.png,0.875,1
1068.png,0.5,1
1069.png,0.75,1
1070.png,0.625,1
1071.png,0.6875,1
1072.png,0.5625,0
1073.png,0.8125,1
1074.png,0.75,0
1075.png,0.5,1
1076.png,0.625,1
1077.png,0.25,0
1078.png,0.5,1
1079.png,0.75,1
1080.png,0.4375,1
1081.png,0.8125,1
1082.png,0.5625,1
1083.png,0.625,0
1084.png,0.6875,0
1085.png,0.5,1
1086.png,0.6875,1
1087.png,0.625,1
1088.png,0.5,0
1089.png,0.75,1
1090.png,0.6875,0
1091.png,0.4375,1
1092.png,0.625,1
1093.png,0.5625,1
1094.png,0.5625,1
1095.png,0.4375,1
1096.png,0.8125,1
1097.png,0.625,1
1098.png,0.75,0
1099.png,0.8125,1
1100.png,0.625,0
1101.png,0.6875,0
1102.png,0.6875,0
1103.png,0.6875,1
1104.png,0.5,0
1105.png,0.5625,0
1106.png,0.1875,1
1107.png,0.375,0
1108.png,0.4375,0
1109.png,0.75,1
1110.png,0.6875,1
1111.png,0.6875,0
1112.png,0.8125,1
1113.png,0.6875,1
1114.png,0.75,1
1115.png,0.8125,1
1116.png,0.6875,0
1117.png,0.5625,1
1118.png,0.5,0
1119.png,0.4375,1
1120.png,0.5625,1
1121.png,0.4375,1
1122.png,0.4375,1
1123.png,0.625,1
1124.png,0.8125,1
1125.png,0.625,1
1126.png,0.75,1
1127.png,0.5,1
1128.png,0.375,1
1129.png,0.875,1
1130.png,0.6875,0
1131.png,0.375,1
1132.png,0.75,0
1133.png,0.75,1
1134.png,0.5,1
1135.png,0.4375,1
1136.png,0.75,1
1137.png,0.5,1
1138.png,0.75,1
1139.png,0.5,0
1140.png,0.375,1
1141.png,0.6875,0
1142.png,0.4375,0
1143.png,0.5625,1
1144.png,0.6875,1
1145.png,0.4375,1
1146.png,0.75,1
1147.png,0.5,1
1148.png,0.6875,0
1149.png,0.625,1
1150.png,0.75,1
1151.png,0.4375,1
1152.png,0.6875,1
1153.png,0.5,0
1154.png,0.375,1
1155.png,0.75,0
1156.png,0.875,1
1157.png,0.4375,1
1158.png,0.5,1
1159.png,0.4375,1
1160.png,0.4375,1
1161.png,0.9375,1
1162.png,0.75,1
1163.png,0.75,1
1164.png,0.8125,1
1165.png,0.5,1
1166.png,0.75,0
1167.png,0.5625,1
1168.png,0.625,1
1169.png,0.75,0
1170.png,0.4375,1
1171.png,0.8125,1
1172.png,0.5625,0
1173.png,0.5625,0
1174.png,0.625,0
1175.png,0.5,1
1176.png,0.6875,1
1177.png,0.4375,1
1178.png,0.25,0
1179.png,0.625,1
1180.png,0.5,1
1181.png,0.5,1
1182.png,0.5625,1
1183.png,0.5,0
1184.png,0.6875,1
1185.png,0.5625,1
1186.png,0.5,1
1187.png,0.5,1
1188.png,0.4375,1
1189.png,0.8125,1
1190.png,0.5625,1
1191.png,0.625,1
1192.png,0.625,1
1193.png,0.75,1
1194.png,0.6875,0
1195.png,0.75,1
1196.png,0.75,1
1197.png,0.6875,1
1198.png,0.5625,1
1199.png,0.8125,1
1200.png,0.625,0
1201.png,0.5625,1
1202.png,0.625,1
1203.png,0.5,1
1204.png,0.6875,1
1205.png,0.6875,0
1206.png,0.4375,0
1207.png,0.75,1
1208.png,0.5625,1
1209.png,0.6875,1
1210.png,0.625,1
1211.png,0.625,1
1212.png,0.6875,0
1213.png,0.6875,0
1214.png,0.8125,1
1215.png,0.625,0
1216.png,0.4375,1
1217.png,0.4375,1
1218.png,0.8125,1
1219.png,0.5,1
1220.png,0.8125,1
1221.png,0.6875,1
1222.png,0.6875,0
1223.png,0.5625,1
1224.png,0.5,1
1225.png,0.375,1
1226.png,0.625,1
1227.png,0.75,1
1228.png,0.4375,1
1229.png,0.75,1
1230.png,0.75,0
1231.png,0.5,1
1232.png,0.4375,0
1233.png,0.625,1
1234.png,0.4375,1
1235.png,0.625,1
1236.png,0.5625,0
1237.png,0.4375,1
1238.png,0.6875,0
1239.png,0.4375,1
1240.png,0.625,1
1241.png,0.5,1
1242.png,0.5,0
1243.png,0.8125,1
1244.png,0.8125,1
1245.png,0.375,1
1246.png,0.625,1
1247.png,0.5625,0
1248.png,0.625,0
1249.png,0.5,0
1250.png,0.75,1
1251.png,0.6875,0
1252.png,0.625,1
1253.png,0.5625,1
1254.png,0.6875,1
1255.png,0.8125,1
1256.png,0.4375,0
1257.png,0.8125,1
1258.png,0.375,1
1259.png,0.75,1
1260.png,0.875,1
1261.png,0.8125,0
1262.png,0.5625,1
1263.png,0.6875,0
1264.png,0.3125,1
1265.png,0.3125,1
1266.png,0.125,1
1267.png,0.75,1
1268.png,0.4375,0
1269.png,0.75,1
1270.png,0.625,1
1271.png,0.5,0
1272.png,0.875,1
1273.png,0.375,1
1274.png,0.375,1
1275.png,0.5,1
1276.png,0.75,1
1277.png,0.8125,1
1278.png,0.5625,1
1279.png,0.75,0
1280.png,0.625,1
1281.png,0.375,1
1282.png,0.5625,0
1283.png,0.8125,0
1284.png,0.6875,1
1285.png,0.625,0
1286.png,0.75,1
1287.png,0.5625,1
1288.png,0.8125,1
1289.png,0.75,1
1290.png,0.5,1
1291.png,0.4375,1
1292.png,0.5625,1
1293.png,0.5625,1
1294.png,0.625,1
1295.png,0.5,1
1296.png,0.5,0
1297.png,0.5,1
1298.png,0.6875,1
1299.png,0.6875,0
1300.png,0.75,0
1301.png,0.4375,1
1302.png,0.625,1
1303.png,0.6875,0
1304.png,0.4375,1
1305.png,0.125,1
1306.png,0.5,1
